"id","created_at","updated_at","common_name","description","player_id"
"31","2022-01-10 11:10:45","2022-01-10 11:10:45","Rice",NULL,"17"
"32","2022-01-10 11:10:54","2022-01-10 11:10:54","Assorted Vegetables",NULL,"17"
"33","2022-01-10 11:10:58","2022-01-10 11:10:58","Rootcrops",NULL,"17"
"34","2022-01-10 11:13:15","2022-01-10 11:13:15","Rice",NULL,"18"
"35","2022-01-10 11:36:03","2022-01-10 11:36:03","Rice",NULL,"27"
"36","2022-01-10 11:40:21","2022-01-10 11:40:21","Rice",NULL,"30"
"37","2022-01-10 11:46:24","2022-01-10 11:46:24","Rice",NULL,"34"
"38","2022-01-10 11:48:25","2022-01-10 11:48:25","Rice",NULL,"35"
"39","2022-01-10 11:52:24","2022-01-10 11:52:24","Tilapia",NULL,"36"
"40","2022-01-10 12:00:22","2022-01-10 12:00:22","Tilapia",NULL,"40"
"58","2022-01-10 13:50:17","2022-01-10 13:50:17","Fresh or Frozen Squid",NULL,"42"
"59","2022-01-10 13:50:29","2022-01-10 13:50:29","Fresh or Frozen Cuttlefish",NULL,"42"
"60","2022-01-10 13:52:53","2022-01-10 13:52:53","Assorted Fishery Products (Fresh Chilled)",NULL,"43"
"61","2022-01-10 14:04:12","2022-01-10 14:04:12","Fresh Chilled Blue Swimming Crab",NULL,"44"
"62","2022-01-10 14:04:23","2022-01-10 14:04:23","Fresh Chilled Grouper",NULL,"44"
"63","2022-01-10 14:04:31","2022-01-10 14:04:31","Fresh Chilled Lobster",NULL,"44"
"64","2022-01-10 14:06:31","2022-01-10 14:06:31","Fresh Chilled Whole Tuna",NULL,"45"
"65","2022-01-10 14:20:18","2022-01-10 14:20:18","Fresh Chilled Whole Tuna",NULL,"41"
"66","2022-01-10 14:20:29","2022-01-10 14:20:29","Fresh Chilled Skipjacks",NULL,"41"
"67","2022-01-10 15:16:27","2022-01-10 15:16:27","Tilapia",NULL,"46"
"68","2022-01-10 15:17:38","2022-01-10 15:17:38","Tilapia",NULL,"47"
"69","2022-01-10 15:18:57","2022-01-10 15:18:57","Tilapia",NULL,"48"
"70","2022-01-10 15:20:03","2022-01-10 15:20:03","Tilapia",NULL,"49"
"71","2022-01-10 15:20:56","2022-01-10 15:20:56","Tilapia",NULL,"50"
"72","2022-01-10 15:22:49","2022-01-10 15:22:49","Tilapia",NULL,"51"
"73","2022-01-10 15:23:48","2022-01-10 15:23:48","Tilapia",NULL,"52"
"74","2022-01-10 15:25:01","2022-01-10 15:25:01","Tilapia",NULL,"53"
"75","2022-01-10 15:25:58","2022-01-10 15:25:58","Tilapia",NULL,"54"
"76","2022-01-10 15:26:55","2022-01-10 15:26:55","Tilapia",NULL,"55"
"77","2022-01-10 15:28:22","2022-01-10 15:28:22","Tilapia",NULL,"56"
"78","2022-01-10 15:29:16","2022-01-10 15:29:16","Tilapia",NULL,"57"
"79","2022-01-10 15:30:22","2022-01-10 15:30:22","Tilapia",NULL,"58"
"80","2022-01-10 15:31:15","2022-01-10 15:31:15","Tilapia",NULL,"59"
"81","2022-01-10 15:32:15","2022-01-10 15:32:15","Tilapia",NULL,"60"
"82","2022-01-10 15:33:29","2022-01-10 15:33:29","Tilapia",NULL,"61"
"83","2022-01-10 15:34:40","2022-01-10 15:34:40","Tilapia",NULL,"62"
"84","2022-01-10 15:35:46","2022-01-10 15:35:46","Tilapia",NULL,"63"
"85","2022-01-10 15:36:50","2022-01-10 15:36:50","Tilapia",NULL,"64"
"86","2022-01-10 15:37:41","2022-01-10 15:37:41","Tilapia",NULL,"65"
"87","2022-01-10 15:38:22","2022-01-10 15:38:22","Tilapia",NULL,"66"
"88","2022-01-11 08:42:28","2022-01-11 08:42:28","Tilapia",NULL,"67"
"89","2022-01-11 08:43:31","2022-01-11 08:43:31","Tilapia",NULL,"68"
"90","2022-01-11 08:45:14","2022-01-11 08:45:14","Tilapia",NULL,"69"
"91","2022-01-11 08:59:24","2022-01-11 08:59:24","Tilapia",NULL,"70"
"92","2022-01-11 09:03:25","2022-01-11 09:03:25","Tilapia",NULL,"72"
"93","2022-01-11 09:04:23","2022-01-11 09:04:23","Tilapia",NULL,"73"
"94","2022-01-11 09:07:49","2022-01-11 09:07:49","Tilapia",NULL,"74"
"95","2022-01-11 09:09:48","2022-01-11 09:09:48","Tilapia",NULL,"75"
"96","2022-01-11 09:11:42","2022-01-11 09:11:42","Tilapia",NULL,"76"
"97","2022-01-11 09:14:53","2022-01-11 09:14:53","Tilapia",NULL,"77"
"98","2022-01-11 09:16:10","2022-01-11 09:16:10","Tilapia",NULL,"78"
"99","2022-01-11 09:18:25","2022-01-11 09:18:25","Tilapia",NULL,"79"
"100","2022-01-11 09:22:27","2022-01-11 09:22:27","Tilapia",NULL,"80"
"101","2022-01-11 09:24:14","2022-01-11 09:24:14","Tilapia",NULL,"81"
"102","2022-01-11 09:25:16","2022-01-11 09:25:16","Tilapia",NULL,"82"
"103","2022-01-11 09:26:23","2022-01-11 09:26:23","Tilapia",NULL,"83"
"104","2022-01-11 09:27:48","2022-01-11 09:27:48","Tilapia",NULL,"84"
"105","2022-01-11 09:29:12","2022-01-11 09:29:12","Tilapia",NULL,"85"
"107","2022-01-11 09:32:08","2022-01-11 09:32:08","Tilapia",NULL,"87"
"108","2022-01-11 09:32:48","2022-01-11 09:32:48","Tilapia",NULL,"86"
"109","2022-01-11 09:35:29","2022-01-11 09:35:29","Tilapia",NULL,"71"
"110","2022-01-11 09:42:06","2022-01-11 09:42:06","Tilapia",NULL,"88"
"111","2022-01-11 09:43:09","2022-01-11 09:43:09","Tilapia",NULL,"89"
"112","2022-01-11 09:44:16","2022-01-11 09:44:16","Tilapia",NULL,"91"
"113","2022-01-11 09:49:33","2022-01-11 09:49:33","Peanut Butter",NULL,"90"
"114","2022-01-11 09:56:23","2022-01-11 09:56:23","Peanut",NULL,"2"
"115","2022-01-11 10:17:43","2022-01-11 10:17:43","Fresh Chilled Whole Tuna",NULL,"92"
"116","2022-01-11 10:22:47","2022-01-11 10:22:47","Fresh Chilled Squid",NULL,"94"
"117","2022-01-11 10:22:58","2022-01-11 10:22:58","Fresh Chilled Octopus",NULL,"94"
"118","2022-01-11 10:23:12","2022-01-11 10:23:12","Fresh Chilled Cuttlefish",NULL,"94"
"119","2022-01-11 10:23:21","2022-01-11 10:23:21","Fresh Chilled Lobster",NULL,"94"
"120","2022-01-11 10:27:23","2022-01-11 10:27:23","Fresh Chilled Abalone",NULL,"95"
"121","2022-01-11 10:27:37","2022-01-11 10:27:37","Fresh Chilled Octopus",NULL,"95"
"122","2022-01-11 10:30:57","2022-01-11 10:30:57","Fresh Frozen Squid",NULL,"96"
"123","2022-01-11 10:31:14","2022-01-11 10:31:14","Fresh Frozen Octopus",NULL,"96"
"124","2022-01-11 10:31:32","2022-01-11 10:31:32","Fresh Frozen Cuttlefish",NULL,"96"
"125","2022-01-11 10:31:46","2022-01-11 10:31:46","Fresh Frozen Lobster",NULL,"96"
"126","2022-01-11 10:39:08","2022-01-11 10:39:08","Assorted Fresh Fish",NULL,"98"
"127","2022-01-11 10:42:40","2022-01-11 10:42:40","Assorted Fresh Fish",NULL,"99"
"128","2022-01-11 10:46:04","2022-01-11 10:46:04","Assorted Fresh Fish",NULL,"100"
"129","2022-01-11 10:51:26","2022-01-11 10:51:26","Assorted Fresh Fish",NULL,"101"
"130","2022-01-11 22:43:47","2022-01-11 22:43:47","Assorted Fresh Fish",NULL,"102"
"131","2022-01-11 22:45:43","2022-01-11 22:45:43","Assorted Fresh Fish",NULL,"103"
"132","2022-01-11 22:47:33","2022-01-11 22:47:33","Assorted Fresh Fish",NULL,"104"
"133","2022-01-11 22:49:36","2022-01-11 22:49:36","Assorted Fresh Fish",NULL,"105"
"134","2022-01-11 22:52:37","2022-01-11 22:52:37","Assorted Fresh Fish",NULL,"106"
"135","2022-01-11 22:58:53","2022-01-11 22:58:53","Assorted Dried Fish",NULL,"107"
"136","2022-01-11 23:02:38","2022-01-11 23:02:38","Assorted Dried Fish",NULL,"108"
"137","2022-01-11 23:12:44","2022-01-11 23:12:44","Assorted Dried Fish",NULL,"109"
"138","2022-01-11 23:15:35","2022-01-11 23:15:35","Assorted Dried Fish",NULL,"110"
"139","2022-01-11 23:18:54","2022-01-11 23:18:54","Fresh Chilled Octopus",NULL,"111"
"140","2022-01-19 22:36:41","2022-01-19 22:36:41","Assorted Vegetables",NULL,"112"
"141","2022-01-19 22:36:59","2022-01-19 22:36:59","Sweet Corn",NULL,"112"
"142","2022-01-19 22:37:07","2022-01-19 22:37:07","Rice",NULL,"112"
"143","2022-01-19 22:37:22","2022-01-19 22:37:22","Coconut",NULL,"112"
"144","2022-01-19 22:37:28","2022-01-19 22:37:28","Banana",NULL,"112"
"145","2022-01-19 22:37:37","2022-01-19 22:37:37","Rootcrops",NULL,"112"
"146","2022-01-19 23:18:11","2022-01-19 23:18:11","Assorted Vegetables",NULL,"113"
"147","2022-01-19 23:18:18","2022-01-19 23:18:18","Sweet Corn",NULL,"113"
"148","2022-01-19 23:18:34","2022-01-19 23:18:34","Rice",NULL,"113"
"149","2022-01-19 23:18:40","2022-01-19 23:18:40","Coconut",NULL,"113"
"150","2022-01-19 23:18:47","2022-01-19 23:18:47","Banana",NULL,"113"
"151","2022-01-19 23:18:54","2022-01-19 23:18:54","Root Crops",NULL,"113"
"152","2022-01-24 08:44:17","2022-01-24 08:44:17","Assorted Vegetables",NULL,"114"
"153","2022-01-24 08:44:24","2022-01-24 08:44:24","Sweet Corn",NULL,"114"
"154","2022-01-24 08:44:31","2022-01-24 08:44:31","Coconut",NULL,"114"
"155","2022-01-24 08:44:37","2022-01-24 08:44:37","Banana",NULL,"114"
"156","2022-01-24 08:44:44","2022-01-24 08:44:44","Root Crops",NULL,"114"
"157","2022-01-24 08:47:33","2022-01-24 08:47:33","Assorted Vegetables",NULL,"115"
"158","2022-01-24 08:47:41","2022-01-24 08:47:41","Sweet Corn",NULL,"115"
"159","2022-01-24 08:47:48","2022-01-24 08:47:48","Coconut",NULL,"115"
"160","2022-01-24 08:47:54","2022-01-24 08:47:54","Banana",NULL,"115"
"161","2022-01-24 08:48:03","2022-01-24 08:48:03","Root Crops",NULL,"115"
"162","2022-01-24 08:51:43","2022-01-24 08:51:43","Assorted Vegetables",NULL,"116"
"163","2022-01-24 08:51:51","2022-01-24 08:51:51","Coconut",NULL,"116"
"164","2022-01-24 08:51:58","2022-01-24 08:51:58","Banana",NULL,"116"
"165","2022-01-24 08:52:05","2022-01-24 08:52:05","Root Crops",NULL,"116"
"166","2022-01-24 08:52:16","2022-01-24 08:52:16","Forest Trees",NULL,"116"
"167","2022-01-24 08:55:24","2022-01-24 08:55:24","Assorted Vegetables",NULL,"117"
"168","2022-01-24 08:55:33","2022-01-24 08:55:33","Sweet Corn",NULL,"117"
"169","2022-01-24 08:55:40","2022-01-24 08:55:40","Rice",NULL,"117"
"170","2022-01-24 08:55:45","2022-01-24 08:55:45","Banana",NULL,"117"
"171","2022-01-24 08:57:04","2022-01-24 08:57:04","Root Crops",NULL,"117"
"172","2022-01-24 09:01:03","2022-01-24 09:01:03","Bangus",NULL,"118"
"173","2022-01-24 09:01:19","2022-01-24 09:01:19","Capture Fishery Products",NULL,"118"
"174","2022-01-24 09:03:57","2022-01-24 09:03:57","Bangus",NULL,"119"
"175","2022-01-24 09:04:08","2022-01-24 09:04:08","Capture Fishery Products",NULL,"119"
"176","2022-01-24 09:08:58","2022-01-24 09:08:58","Bottled Tahong",NULL,"120"
"177","2022-01-24 09:09:06","2022-01-24 09:09:06","Tahong Crackers",NULL,"120"
"178","2022-01-24 09:09:15","2022-01-24 09:09:15","Tahong Sticks",NULL,"120"
"179","2022-01-24 09:21:21","2022-01-24 09:21:21","Carmela's Sea Deli Tahong Crackers",NULL,"121"
"180","2022-01-31 15:00:35","2022-01-31 15:00:35","Tahong Crackers",NULL,"122"
"181","2022-01-31 15:03:02","2022-01-31 15:03:02","Lumpiang Tahong",NULL,"123"
"182","2022-01-31 15:03:23","2022-01-31 15:03:23","Steamed/Shelled Off Tahong Meat",NULL,"123"
"183","2022-01-31 15:05:51","2022-01-31 15:05:51","Blue Swimming Crab Crackers",NULL,"124"
"184","2022-02-03 10:11:24","2022-02-03 10:11:24","Assorted Vegetables",NULL,"125"
"185","2022-02-03 10:11:31","2022-02-03 10:11:31","Rice",NULL,"125"
"186","2022-02-03 10:11:37","2022-02-03 10:11:37","Sweet Corn",NULL,"125"
"187","2022-02-03 10:11:43","2022-02-03 10:11:43","Coconut",NULL,"125"
"188","2022-02-03 10:11:49","2022-02-03 10:11:49","Banana",NULL,"125"
"189","2022-02-03 10:12:04","2022-02-03 10:12:04","Root Crops",NULL,"125"
"190","2022-02-03 10:15:35","2022-02-03 10:15:35","Assorted Vegetables",NULL,"126"
"191","2022-02-03 10:15:42","2022-02-03 10:15:42","Sweet Corn",NULL,"126"
"192","2022-02-03 10:15:54","2022-02-03 10:15:54","Coconut",NULL,"126"
"193","2022-02-03 10:15:59","2022-02-03 10:15:59","Banana",NULL,"126"
"194","2022-02-03 10:16:05","2022-02-03 10:16:05","Root Crops",NULL,"126"
"195","2022-02-03 10:16:10","2022-02-03 10:16:10","Bangus",NULL,"126"
"196","2022-02-03 10:22:58","2022-02-03 10:22:58","Assorted Vegetables",NULL,"127"
"197","2022-02-03 10:23:04","2022-02-03 10:23:04","Rice",NULL,"127"
"198","2022-02-03 10:23:11","2022-02-03 10:23:11","Sweet Corn",NULL,"127"
"199","2022-02-03 10:23:17","2022-02-03 10:23:17","Banana",NULL,"127"
"200","2022-02-03 10:23:26","2022-02-03 10:23:26","Root Crops",NULL,"127"
"201","2022-02-03 10:23:36","2022-02-03 10:23:36","Coconut",NULL,"127"
"202","2022-02-03 10:26:40","2022-02-03 10:26:40","Assorted Vegetables",NULL,"128"
"203","2022-02-03 10:26:47","2022-02-03 10:26:47","Rice",NULL,"128"
"204","2022-02-03 10:26:53","2022-02-03 10:26:53","Coconut",NULL,"128"
"205","2022-02-03 10:27:14","2022-02-03 10:27:14","Sweet Corn",NULL,"128"
"206","2022-02-03 10:28:07","2022-02-03 10:28:07","Banana",NULL,"128"
"207","2022-02-03 10:28:14","2022-02-03 10:28:14","Root Crops",NULL,"128"
